,mean,max,25%,50%,75%,95%,std
1292C1100,242.28889269406395,627.2,170.00000000000003,228.90000000000003,304.5,407.1099999999999,90.87060590663995
1292C1120,237.0322488584475,583.4999999999999,166.4,223.50000000000006,299.4,395.2099999999998,88.23577920556106
1292C1110,277.72204337899547,716.0999999999999,198.30000000000004,260.65000000000003,347.025,453.51499999999965,98.69742062102924
1292B2020,247.58972602739726,676.3,173.40000000000003,235.15000000000003,311.2,411.0049999999998,92.5626632384541
1292C1150,278.4161187214612,652.0999999999997,201.87500000000003,257.30000000000007,349.2,455.69999999999976,96.73713994167846
1292C1130,230.26875570776255,706.3,156.60000000000002,219.90000000000006,290.2,390.9599999999991,91.01794500716696
1292C1140,263.1524657534247,732.0999999999996,188.00000000000006,244.25000000000006,330.525,431.5999999999998,93.66831344102476
1292B3010,149.06743150684935,587.7,97.3,137.9,188.72500000000005,274.70000000000005,67.57011492776674
1292A0040,278.7227739726027,702.0999999999998,202.3,258.9000000000001,348.4999999999999,454.69999999999976,96.49791079041772
1292B3020,136.8098515981735,473.2000000000001,93.7,127.0,173.70000000000005,239.7,56.85927133764916
1292A0030,347.480205479452,840.5999999999997,253.50000000000003,320.04999999999995,432.9999999999999,559.7049999999996,117.43205146672226
1292C1030,187.21736301369864,474.0999999999999,132.60000000000002,173.10000000000002,235.90000000000003,314.6149999999998,70.28304500383753
1292C1070,177.43260273972604,543.3,123.5,166.05,223.90000000000003,305.0,69.2556809383709
1292B4010,182.50044520547948,517.8000000000001,129.60000000000002,169.8,228.50000000000003,306.5099999999999,67.92549463965447
1293A0030,275.6002397260274,655.8999999999999,199.40000000000003,257.80000000000007,342.42499999999995,447.79999999999984,95.50152893390191
1293A0060,244.12449771689498,663.7999999999997,173.5,229.85000000000002,307.3,397.20500000000004,88.35248377156621
1293B7010,254.86237442922373,694.9,184.3,239.60000000000005,316.825,414.3199999999997,88.48011335853775
1293B4010,188.86687214611874,499.6,134.20000000000002,174.8,236.6,316.10499999999996,69.37902657336505
