,Unnamed: 0,Kommun,Kommunnamn,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area,mean,max,25%,50%,75%,95%,std
1256B2010,0,1256,Östra Göinge,987,Pendlingskommun nära större stad,25,3,1841,445761,6217713,13978.89566,6141834.196,233.7989611872146,801.5999999999997,86.50000000000001,186.05000000000004,355.525,559.4049999999996,170.81690709856295
1256B2020,1,1256,Östra Göinge,726,Pendlingskommun nära större stad,25,3,1586,445761,6217713,14850.78086,5233374.127,180.59764840182646,707.1999999999998,65.7,145.70000000000002,275.75000000000006,426.80499999999995,132.70193073835472
1256A0010,2,1256,Östra Göinge,848,Pendlingskommun nära större stad,25,3,1291,456053,6226593,51525.97718,84292069.75,200.73691780821918,750.1999999999997,74.625,160.20000000000002,306.725,480.60499999999973,148.44218876245182
1256C1010,3,1256,Östra Göinge,772,Pendlingskommun nära större stad,25,3,1563,434578,6220850,10090.53058,4741871.03,182.85351598173517,829.3999999999997,65.7,144.8,282.025,437.20499999999987,135.64257240037918
1256C1020,4,1256,Östra Göinge,803,Pendlingskommun nära större stad,25,3,1866,456053,6226593,14110.13174,9377031.065,219.97970319634703,879.8999999999999,82.1,187.0,332.82500000000005,507.4049999999999,158.03210265620893
1256A0020,5,1256,Östra Göinge,531,Pendlingskommun nära större stad,25,3,842,445761,6217713,90670.35047,114111077.8,141.4705251141553,597.3,49.4,113.4,216.75,347.5,107.94440406075279
1256B4010,6,1256,Östra Göinge,666,Pendlingskommun nära större stad,25,3,1412,456053,6226593,10096.14553,6892427.453,152.70343607305935,518.3999999999996,57.7,120.0,231.625,372.61499999999967,114.48551904433083
1256B3010,7,1256,Östra Göinge,746,Pendlingskommun nära större stad,25,3,1606,456053,6226593,11892.70539,8794835.272,193.4045205479452,733.4999999999999,69.0,158.05,298.0,452.22499999999974,140.98824587753253
1256A0030,8,1256,Östra Göinge,713,Pendlingskommun nära större stad,25,3,1175,456053,6226593,143494.674,206595005.7,175.90867579908675,710.5999999999998,64.67499999999998,141.60000000000002,271.5,421.5999999999998,130.2932800859525
1256B5010,9,1256,Östra Göinge,678,Pendlingskommun nära större stad,25,3,1395,445761,6217713,10172.88823,6805662.113,183.93654109589042,751.6999999999999,65.3,152.75,280.625,431.10999999999973,134.61516752717864
1292A0010,10,1292,Ängelholm,572,Pendlingskommun nära större stad,25,3,850,371588,6221705,49384.44068,35214126.77,137.47729452054796,630.1,49.8,108.8,212.20000000000005,333.80499999999995,104.25025642459634
1292C1050,11,1292,Ängelholm,755,Pendlingskommun nära större stad,25,3,1632,370107,6235579,3598.21154,498506.3608,206.04649543379,739.1999999999998,76.10000000000001,174.3,312.04999999999995,480.40499999999986,147.79729929768862
1292C1010,12,1292,Ängelholm,1022,Pendlingskommun nära större stad,25,3,2144,370107,6235579,13113.74194,6908911.022,242.29759132420085,918.6999999999996,89.3,194.95000000000005,370.9999999999999,575.1999999999998,176.8313129155675
1292C1020,13,1292,Ängelholm,1155,Pendlingskommun nära större stad,25,3,2434,370107,6235579,8501.286884,3410944.578,297.96666666666664,1041.7999999999995,113.25,250.60000000000005,452.19999999999993,691.7049999999995,211.25892661173742
1292C1040,14,1292,Ängelholm,1070,Pendlingskommun nära större stad,25,3,2509,370107,6235579,5576.125649,1308595.032,250.244703196347,877.4999999999995,90.7,199.05,381.6499999999999,603.0049999999994,184.92160699145273
1292C1090,15,1292,Ängelholm,585,Pendlingskommun nära större stad,25,3,1429,370107,6235579,1837.65162,191159.0625,179.31125570776257,1007.3,61.3,152.60000000000002,273.29999999999995,422.2099999999999,133.84045900100463
1292C1080,16,1292,Ängelholm,837,Pendlingskommun nära större stad,25,3,1924,370107,6235579,7098.341569,2071864.395,211.8464497716895,810.0999999999998,75.675,172.85000000000002,324.65,504.50499999999994,155.05170076752347
1292A0020,17,1292,Ängelholm,843,Pendlingskommun nära större stad,25,3,1324,370107,6235579,58084.21866,65466239.35,194.0048173515982,683.6999999999997,71.8,151.65,297.525,469.8,145.02063628214304
1292C1060,18,1292,Ängelholm,1073,Pendlingskommun nära större stad,25,3,2407,370107,6235579,11985.5463,4733020.103,254.20660958904102,884.8999999999995,94.0,202.25,387.2,602.8099999999996,184.82745785028035
1292B2010,19,1292,Ängelholm,1164,Pendlingskommun nära större stad,25,3,2239,370107,6235579,9286.87674,4168882.324,268.0182077625571,859.6999999999997,97.275,211.7,414.675,647.2099999999996,198.13064508714123
1292C1100,20,1292,Ängelholm,957,Pendlingskommun nära större stad,25,3,2013,370107,6235579,9690.763159,3862202.115,239.8636415525114,892.7999999999996,90.00000000000001,197.50000000000003,364.325,560.4999999999998,172.34737916127443
1292C1120,21,1292,Ängelholm,950,Pendlingskommun nära större stad,25,3,1891,370107,6235579,5405.331492,891762.8237,235.57923515981733,897.2999999999995,87.1,191.75000000000003,359.82500000000005,554.0099999999996,170.7467315047139
1292C1110,22,1292,Ängelholm,1136,Pendlingskommun nära större stad,25,3,2291,370107,6235579,15677.97155,6256291.692,274.9158675799086,947.8999999999996,104.5,222.64999999999998,418.85,644.0999999999996,197.50872797662478
1292B2020,23,1292,Ängelholm,979,Pendlingskommun nära större stad,25,3,1776,370107,6235579,16458.11336,10553212.08,248.39486301369863,932.5999999999996,91.35000000000001,203.55,379.225,579.0999999999997,178.8123191663623
