,Unnamed: 0,Kommun,Kommunnamn,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area,mean,max,25%,50%,75%,95%,std
1292B4010,33,1292,Ängelholm,784,Pendlingskommun nära större stad,25,3,1486,359885,6226823,12774.70585,8185387.039,182.50044520547948,517.8000000000001,129.60000000000002,169.8,228.50000000000003,306.5099999999999,67.92549463965447
1293A0030,34,1293,Hässleholm,955,Lågpendlingskommun nära större stad,31,6,1499,434578,6220850,83858.78344,118562815.9,275.6002397260274,655.8999999999999,199.40000000000003,257.80000000000007,342.42499999999995,447.79999999999984,95.50152893390191
1293A0060,35,1293,Hässleholm,813,Lågpendlingskommun nära större stad,31,6,1297,424130,6226656,72334.92,100478356.1,244.12449771689498,663.7999999999997,173.5,229.85000000000002,307.3,397.20500000000004,88.35248377156621
1293B7010,36,1293,Hässleholm,869,Lågpendlingskommun nära större stad,31,6,1819,419121,6239024,12780.41344,10828804.09,254.86237442922373,694.9,184.3,239.60000000000005,316.825,414.3199999999997,88.48011335853775
1293B4010,37,1293,Hässleholm,669,Lågpendlingskommun nära större stad,31,6,1376,419121,6239024,13631.80483,7880684.796,188.86687214611874,499.6,134.20000000000002,174.8,236.6,316.10499999999996,69.37902657336505
1293A0050,38,1293,Hässleholm,888,Lågpendlingskommun nära större stad,31,6,1263,424130,6226656,64854.64398,78902017.2,285.91001141552516,693.6,202.90000000000003,275.3,356.32500000000005,464.10499999999985,101.68105373276907
1293A0040,39,1293,Hässleholm,846,Lågpendlingskommun nära större stad,31,6,1369,415506,6226559,83759.97024,180278967.9,237.73409817351597,559.9999999999998,173.20000000000002,218.50000000000003,295.04999999999995,395.8,84.22428577625
1293B4020,40,1293,Hässleholm,844,Lågpendlingskommun nära större stad,31,6,1583,419121,6239024,15921.85948,7878433.721,239.4921118721461,623.6,173.8,222.50000000000003,298.52500000000003,392.8999999999999,83.52022569211007
1293A0070,41,1293,Hässleholm,631,Lågpendlingskommun nära större stad,31,6,905,419121,6239024,67798.83077,113163904.9,178.74917808219178,460.8999999999999,127.20000000000005,166.20000000000002,224.20000000000005,298.6,65.66287679488863
1293B6010,42,1293,Hässleholm,893,Lågpendlingskommun nära större stad,31,6,1855,419121,6239024,17477.23551,14271834.95,255.77005707762555,627.3999999999999,184.4,236.50000000000003,319.4,421.29999999999984,89.34603010006795
1293A0080,43,1293,Hässleholm,851,Lågpendlingskommun nära större stad,31,6,1218,404987,6247646,103678.503,219266346.9,238.02207762557083,641.0999999999998,172.875,219.10000000000005,297.40000000000003,392.8999999999999,83.12062072632075
1293B5010,44,1293,Hässleholm,826,Lågpendlingskommun nära större stad,31,6,1904,418693,6205881,11519.67498,7941293.593,234.68813926940638,590.2,170.075,218.50000000000006,291.8,385.90999999999985,81.57072745641031
1293B3020,45,1293,Hässleholm,1059,Lågpendlingskommun nära större stad,31,6,1977,434578,6220850,5399.730106,1317176.315,304.66480593607304,715.6999999999998,220.90000000000003,284.0,379.8999999999999,490.7099999999997,102.49012292592238
