,mean,max,25%,50%,75%,95%,std
1293A0010,286.7834817351598,975.7999999999994,109.50000000000003,230.6,442.3999999999999,667.6999999999996,204.33972809431347
1293B3030,163.14594748858448,718.0999999999998,61.7,131.3,249.62500000000006,384.0999999999999,118.57603492472526
1293B8010,183.5003082191781,668.0999999999999,72.175,147.0,279.42499999999995,431.19999999999976,130.8508328855924
1293C1020,203.9028424657534,764.8999999999997,77.4,161.85000000000002,312.22499999999997,478.20499999999987,146.47123697353481
1293C1010,261.46812785388124,821.6999999999997,101.5,209.8,400.79999999999984,608.8249999999992,186.1816503583607
1293C1030,146.22503424657535,525.4999999999995,54.7,116.45000000000002,226.22500000000005,345.8999999999999,107.13201304985915
1293C1050,203.73351598173514,682.9999999999997,79.5,161.1,311.1,481.10499999999985,146.07656562716002
1293C1060,168.20534246575343,741.6999999999998,65.19999999999999,133.9,256.40000000000003,397.90499999999986,121.73006888682916
1293C1040,177.30859589041097,714.6999999999997,68.3,141.60000000000002,270.3,417.8999999999999,127.71843225796482
1293B2010,205.36220319634702,802.8999999999997,78.9,167.50000000000003,313.025,473.9999999999999,145.40637464171138
1293C1090,264.99353881278535,859.4999999999995,100.57499999999999,210.90000000000003,407.7249999999999,626.1149999999993,190.95232269216854
1293B2020,251.14594748858443,890.1999999999996,97.7,198.35000000000002,384.3999999999999,587.4999999999995,178.76930674581712
1293C1110,204.18371004566208,786.9999999999997,78.7,163.70000000000002,311.625,478.0049999999998,147.4962127205874
1293C1100,185.01463470319635,740.2999999999998,68.9,151.70000000000002,282.32500000000005,436.3999999999999,134.40602693253126
1293B2030,237.57097031963465,828.3999999999994,92.60000000000002,191.85000000000002,360.42499999999995,555.8999999999996,169.1083088966562
1293C1130,235.75439497716891,820.2999999999997,90.6,186.10000000000002,360.6999999999999,556.1999999999996,169.4158982290587
1293C1120,264.2966438356164,866.6999999999995,101.4,211.20000000000005,404.8999999999999,622.5999999999996,189.97775008115187
1293C1070,326.77777397260263,1033.999999999999,125.87500000000001,257.5,504.1249999999998,768.7049999999994,234.34236888058086
1293C1080,228.3821232876712,792.1999999999998,87.30000000000001,182.75,347.8999999999999,538.9049999999995,163.85457238225143
1293A0020,298.7477168949771,1098.9999999999995,118.00000000000003,234.40000000000003,453.52499999999986,702.5049999999995,211.78971994074962
1284C1060,240.76130136986296,874.4999999999997,90.2,194.2,369.92499999999995,563.7049999999995,173.8427687659644
1284C1070,244.62450913242006,1036.5999999999997,92.70000000000002,196.40000000000003,374.8,577.7999999999998,177.31761907639827
1284C1080,180.03624429223746,765.7999999999996,67.8,141.20000000000002,274.70000000000005,432.79999999999984,134.0324176486999
1284C1090,208.3560616438356,722.8999999999995,76.10000000000001,162.50000000000003,317.94999999999993,509.3999999999997,155.94273205141158
1284C1110,174.12667808219177,683.4999999999998,64.3,136.90000000000003,265.82500000000005,422.0049999999998,130.09171570193263
1284C1100,211.22263698630135,828.8999999999997,78.30000000000001,167.70000000000005,321.29999999999995,510.3049999999997,155.98530573308798
1284B2010,125.56534246575345,516.3000000000001,46.7,98.35,190.60000000000002,305.8,95.00098204525008
1284A0010,247.68767123287665,843.3999999999995,92.8,197.10000000000005,379.625,591.8149999999996,181.64628168068293
1284C1120,246.48972602739727,881.9999999999998,90.6,198.1,375.1499999999999,591.0049999999997,180.78941360495247
1284A0030,136.24304794520552,697.4000000000001,49.5,111.0,206.5,330.5999999999999,102.61195338879696
1284B2020,191.30141552511415,741.3999999999999,69.1,152.10000000000002,292.825,460.5049999999997,142.33952033922014
1284A0020,230.09686073059356,955.7999999999996,83.875,185.8,351.65000000000003,543.4199999999996,167.458385007751
1284C1010,156.4434474885845,735.3999999999999,57.8,122.05,239.4250000000001,379.4,116.79730751520005
1284C1020,265.9221689497716,917.8999999999996,101.4,210.85000000000002,408.9749999999999,630.4999999999997,192.54667564265455
1284C1030,194.62736301369858,810.6999999999999,71.4,159.05,296.4,461.80999999999983,142.57224468277778
1284C1040,153.01113013698634,722.0,53.8,126.90000000000002,233.925,363.52499999999964,113.85476466741024
1284C1050,209.35385844748856,831.0999999999998,76.775,172.60000000000002,319.22499999999997,493.0999999999995,152.81030986623213
1276B3010,290.82180365296796,1159.7999999999995,109.4,237.6,443.1249999999999,677.9049999999996,208.64304621705057
1276A0030,232.65659817351596,1079.5999999999997,87.0,189.40000000000003,353.025,546.9049999999997,168.37944147730036
1276B2010,321.5380707762556,1035.4999999999995,123.775,260.3,490.2249999999998,756.5049999999995,229.15801186673903
1276A0020,212.20803652968036,936.8,76.375,188.64999999999998,316.025,489.30000000000007,152.93942143198908
1276A0010,286.8285958904109,981.4999999999998,110.3,236.60000000000005,434.39999999999986,666.1049999999994,204.7228105831107
