StartHour,Count
0,0.010470482043008105
1,0.00742535321844997
2,0.0063055911056265485
3,0.006478628256897275
4,0.007338506981976896
5,0.00802223392558943
6,0.010280903586731385
7,0.01820652139364686
8,0.02355573146303673
9,0.027671533290942737
10,0.030828351956302243
11,0.037960706476554924
12,0.04233987292748364
13,0.04157243211468309
14,0.04917668140289285
15,0.0723157755331944
16,0.10709769324067094
17,0.12084743522418301
18,0.10695114021662268
19,0.08652486951127501
20,0.06928194401516118
21,0.05419672974046076
22,0.03521191697577661
23,0.019938965398832838
