OBJECTID;uuid;deso;kommun;lan;kommunnamn;lannamn;version;Field1;key_0;Deso_1;Station;Boende_totalt_Antal;Antal_Bilar;Bilar_småhus;Bilar_flerbostadshus;Antal_personer_i_småhus;Antal_personer_i_flerbostadshus;Laddpunkter;Kommungrupp_2023;Travel__km_;Travel___;Shape_Length;Shape_Area;max_aadtfordon;sum_Length_KILOMETERS;Polyline_Count;CITY
22;{FC9CB9D5-61A3-46E4-A669-DF442B495736};1292C1090;1292;12;Ängelholm;Skåne;2018_v2;15;Ängelholm;1292C1090;ÄNGELHO;1429;585;45;540;99;1293;35;Pendlingskommun nära större stad;25;3;1837.65162;191159.0625;0;0;0;Medium
23;{1FEFC053-862F-4ADA-BD58-9C3163335E89};1292C1080;1292;12;Ängelholm;Skåne;2018_v2;16;Ängelholm;1292C1080;ÄNGELHO;1924;837;57;780;116;1789;50;Pendlingskommun nära större stad;25;3;7098.341569;2071864.395;0;0;0;Medium
24;{41C96EE6-F460-409B-8F1F-6884F5C45EDE};1292A0020;1292;12;Ängelholm;Skåne;2018_v2;17;Ängelholm;1292A0020;ÄNGELHO;1324;843;826;17;1281;25;50;Pendlingskommun nära större stad;25;3;58084.21866;65466239.35;15538;60.82847144;87;No
25;{3671D2C8-BC53-49CE-BCCA-29D64FB0219C};1256C1010;1256;12;Östra Göinge;Skåne;2018_v2;3;Östra Göinge;1256C1010;VINSLÖV;1563;772;669;103;1269;172;46;Pendlingskommun nära större stad;25;3;10090.53058;4741871.03;2240;11.16802614;25;No
26;{F3B2CA87-3DBE-4276-B03C-097AB297B745};1292C1060;1292;12;Ängelholm;Skåne;2018_v2;18;Ängelholm;1292C1060;ÄNGELHO;2407;1073;671;402;1317;1076;64;Pendlingskommun nära större stad;25;3;11985.5463;4733020.103;10800;11.48756964;29;Medium
27;{B39F51DB-1C8E-4E69-A6E0-143044B8CEB6};1292B2010;1292;12;Ängelholm;Skåne;2018_v2;19;Ängelholm;1292B2010;ÄNGELHO;2239;1164;909;255;1598;581;69;Pendlingskommun nära större stad;25;3;9286.87674;4168882.324;7075;8.831092962;22;No
28;{BD43DB8F-232C-4BA4-96FB-08D9B72E41B5};1284C1120;1284;12;Höganäs;Skåne;2018_v2;75;Höganäs;1284C1120;HÖGANÄS;1910;1041;945;96;1737;66;62;Pendlingskommun nära större stad;25;3;11312.64396;7583939.651;2386;4.290808341;3;Medium
29;{84A2CE27-EC76-46EB-BC31-75C545500AA2};1256C1020;1256;12;Östra Göinge;Skåne;2018_v2;4;Östra Göinge;1256C1020;ARKELSTORP;1866;803;438;365;896;814;48;Pendlingskommun nära större stad;25;3;14110.13174;9377031.065;4852;10.30013788;18;No
30;{AF4489CA-6C0B-4151-B7AB-22A91D543E55};1275A0010;1275;12;Perstorp;Skåne;2018_v2;181;Perstorp;1275A0010;PERSTORP;1279;829;762;67;1252;0;49;Pendlingskommun nära större stad;25;3;75928.18735;145694141;4835;57.77702274;60;No
31;{0C0431CB-D4CE-483B-863E-D5FFF73E1AFB};1293A0060;1293;12;Hässleholm;Skåne;2018_v2;35;Hässleholm;1293A0060;HÄSSLEHOLM;1297;813;724;89;1226;60;48;Lågpendlingskommun nära större stad;31;6;72334.92;100478356.1;2809;69.29549133;75;No
