OBJECTID;uuid;deso;kommun;lan;kommunnamn;lannamn;version;Field1;key_0;Deso_1;Station;Boende_totalt_Antal;Antal_Bilar;Bilar_småhus;Bilar_flerbostadshus;Antal_personer_i_småhus;Antal_personer_i_flerbostadshus;Laddpunkter;Kommungrupp_2023;Travel__km_;Travel___;Shape_Length;Shape_Area;max_aadtfordon;sum_Length_KILOMETERS;Polyline_Count;CITY
92;{0AEADED8-BE60-4E0F-AFAF-99E8B5D9798C};1233B3010;1233;12;Vellinge;Skåne;2018_v2;525;Vellinge;1233B3010;SKANÖR;1275;747;613;134;1121;83;44;Pendlingskommun nära storstad;29;4;14308.18947;10386693.96;0;0;0;Medium
93;{E9C64F50-2174-4935-800A-FBBD83C8F999};1282C1070;1282;12;Landskrona;Skåne;2018_v2;564;Landskrona;1282C1070;LANDSKRON;2433;593;3;590;7;2311;35;Pendlingskommun nära större stad;25;3;2035.02587;191444.009;0;0;0;Medium
94;{14111A7B-69A3-4E5C-91DA-F34C3DD20091};1233B2010;1233;12;Vellinge;Skåne;2018_v2;526;Vellinge;1233B2010;FOTEVIK;2155;1111;1111;0;2103;0;66;Pendlingskommun nära storstad;29;4;11108.93022;3039557.547;686;1.087802467;3;Medium
95;{C75610BE-CBB2-4470-A3BC-BF00A619A1ED};1233B3030;1233;12;Vellinge;Skåne;2018_v2;527;Vellinge;1233B3030;SKANÖR;2098;1024;935;89;1910;122;61;Pendlingskommun nära storstad;29;4;8642.326872;2318309.065;0;0;0;Medium
96;{FB3D5247-0EB7-4704-880E-527034E35C78};1286C1060;1286;12;Ystad;Skåne;2018_v2;546;Ystad;1286C1060;TOMELILLA;2158;924;245;679;548;1466;55;Mindre stad/tätort;22;3;3625.279089;714457.0151;8530;0.646495863;3;Medium
97;{FCEC59D9-4B3F-4BEB-869E-8CC006EC3BC9};1286C1070;1286;12;Ystad;Skåne;2018_v2;547;Ystad;1286C1070;RYDSGÅRD;2327;1034;710;324;1512;751;62;Mindre stad/tätort;22;3;4057.019946;879625.2374;8500;1.494918872;12;Medium
98;{C9C12BB2-07CB-415D-BFAA-7BCB72A9EE7B};1280C1690;1280;12;Malmö;Skåne;2018_v2;333;Malmö;1280C1690;ELLENBORG;1465;223;0;223;0;1460;13;Storstäder;22;5;1679.872882;129013.2644;0;0;0;Large
99;{214307BC-7F45-454B-A0D0-85B50313EE6E};1280C1630;1280;12;Malmö;Skåne;2018_v2;334;Malmö;1280C1630;LIMHAMN;1769;597;383;214;1010;540;35;Storstäder;22;5;3394.115587;411071.5847;0;0;0;Large
100;{A743C275-D8DD-4C00-9140-303AFADF3D7B};1280C1750;1280;12;Malmö;Skåne;2018_v2;335;Malmö;1280C1750;ELLENBORG;2078;317;0;317;0;2059;19;Storstäder;22;5;1268.240134;89409.9849;0;0;0;Large
101;{B511EAF1-4C2C-41B8-AC19-E67376DDEBF6};1280C1640;1280;12;Malmö;Skåne;2018_v2;336;Malmö;1280C1640;LIMHAMN;1541;664;676;-12;1519;0;39;Storstäder;22;5;2994.453725;515749.5138;0;0;0;Large
102;{0E47C787-A423-4BD2-B262-8D62926AE34D};1280C1520;1280;12;Malmö;Skåne;2018_v2;337;Malmö;1280C1520;HYLLIE;1448;436;0;436;0;1441;26;Storstäder;22;5;1780.841627;137968.7535;0;0;0;Large
103;{7649B2B7-816B-41F9-8791-65B2F0286DA3};1280C1760;1280;12;Malmö;Skåne;2018_v2;338;Malmö;1280C1760;GULLÄNGEN;1842;264;0;264;0;1830;15;Storstäder;22;5;3081.253377;338885.2434;0;0;0;Large
104;{C26C2465-4958-4281-9730-80AA6EDF5CF4};1280C1880;1280;12;Malmö;Skåne;2018_v2;339;Malmö;1280C1880;ELLENBORG;966;89;0;89;0;933;5;Storstäder;22;5;1714.234445;133209.182;0;0;0;Large
105;{027C04A3-EF0A-49A5-969F-3D401B8003B5};1280C1860;1280;12;Malmö;Skåne;2018_v2;340;Malmö;1280C1860;LIMHAMN;2046;711;229;482;580;1327;42;Storstäder;22;5;2287.267016;252733.6013;0;0;0;Large
106;{64C89488-4224-485D-871A-1A8EEC3C0A79};1280C1900;1280;12;Malmö;Skåne;2018_v2;341;Malmö;1280C1900;LIMHAMN;1948;663;432;231;1132;622;39;Storstäder;22;5;2415.415734;300987.9954;0;0;0;Large
107;{396DFEFE-42C8-4DEE-8494-23E42CA6AAFC};1280C1930;1280;12;Malmö;Skåne;2018_v2;342;Malmö;1280C1930;FÅGELBACKE;1806;340;0;340;0;1737;20;Storstäder;22;5;1331.548111;97130.49671;0;0;0;Large
108;{977CB08E-9613-4CE8-8048-CD1F29F489E7};1280C1850;1280;12;Malmö;Skåne;2018_v2;343;Malmö;1280C1850;HELENE;1412;518;0;518;0;1352;31;Storstäder;22;5;3080.128746;458005.3738;0;0;0;Large
109;{0837AD3B-3A8F-4627-AED0-B416E5023783};1280C2680;1280;12;Malmö;Skåne;2018_v2;344;Malmö;1280C2680;FÅGELBACKE;1695;356;39;317;131;1388;21;Storstäder;22;5;4638.581999;704544.1524;0;0;0;Large
110;{FD17ED56-5096-4756-8D58-428517AD40AB};1280C2600;1280;12;Malmö;Skåne;2018_v2;345;Malmö;1280C2600;TOFTANÄS;3027;1161;782;379;1688;1109;69;Storstäder;22;5;7624.985784;1819772.24;10854;0.046700239;3;Large
111;{CD0910A1-D359-42B1-A180-E8D698B72018};1280C2750;1280;12;Malmö;Skåne;2018_v2;346;Malmö;1280C2750;MALMÖ_SJ;2136;402;1;401;3;2084;24;Storstäder;22;5;1540.807825;116481.0022;0;0;0;Large
112;{756C2F3A-E557-4FB2-A46D-998BBB9A1C8B};1280C2780;1280;12;Malmö;Skåne;2018_v2;347;Malmö;1280C2780;CTA;1623;288;0;288;0;1497;17;Storstäder;22;5;1321.345082;107111.2052;0;0;0;Large
113;{5CF07C98-BC40-47D7-A321-D17426457A6D};1280C2800;1280;12;Malmö;Skåne;2018_v2;348;Malmö;1280C2800;CTA;1635;410;0;410;0;1428;24;Storstäder;22;5;1207.060401;75081.04282;0;0;0;Large
114;{F5D6AF56-F863-4275-BF6E-A9D46C925DEA};1280C2130;1280;12;Malmö;Skåne;2018_v2;349;Malmö;1280C2130;FÅGELBACKE;1802;506;61;445;183;1574;30;Storstäder;22;5;2320.024706;319011.8898;0;0;0;Large
115;{8B743853-146A-414E-B56D-2D4A6A40C9F5};1280C2240;1280;12;Malmö;Skåne;2018_v2;350;Malmö;1280C2240;MÖLLEVÅNGE;1824;310;0;310;0;1786;18;Storstäder;22;5;1472.317101;70641.30415;0;0;0;Large
116;{2E4BBE13-0925-438A-B221-44821469DA5A};1280C2290;1280;12;Malmö;Skåne;2018_v2;351;Malmö;1280C2290;MÖLLEVÅNGE;1661;293;0;293;0;1627;17;Storstäder;22;5;988.3453;58698.93405;0;0;0;Large
117;{9B3240D4-7247-436E-AAAD-25E30619F864};1280C2200;1280;12;Malmö;Skåne;2018_v2;352;Malmö;1280C2200;MÖLLEVÅNGE;1935;371;1;370;4;1627;22;Storstäder;22;5;2171.826627;195891.2595;0;0;0;Large
118;{A7A10721-912D-4587-BE9C-3750FB66B476};1280C2230;1280;12;Malmö;Skåne;2018_v2;353;Malmö;1280C2230;MÖLLEVÅNGE;1431;215;0;215;0;1395;12;Storstäder;22;5;1755.155187;129891.4789;0;0;0;Large
119;{B62E34E8-0A99-43E5-A919-50B3A21476EB};1280C2300;1280;12;Malmö;Skåne;2018_v2;354;Malmö;1280C2300;GULLÄNGEN;1782;460;0;460;0;1721;27;Storstäder;22;5;1601.596444;107573.3098;0;0;0;Large
120;{4D73F467-89D0-4531-935E-27F77B1AF970};1280C2310;1280;12;Malmö;Skåne;2018_v2;355;Malmö;1280C2310;MÖLLEVÅNGE;1557;316;0;316;0;1506;18;Storstäder;22;5;1510.538769;80020.47575;0;0;0;Large
121;{90709738-EA97-454D-B135-071A634D5E5E};1287C1080;1287;12;Trelleborg;Skåne;2018_v2;587;Trelleborg;1287C1080;TRELLEBO_N;1776;581;261;320;580;1174;34;Pendlingskommun nära storstad;29;4;3124.633239;458814.9386;402;0.062056438;2;Medium
122;{A73B82C2-2CBB-40C6-B137-FD3C0B9C69F1};1287C1040;1287;12;Trelleborg;Skåne;2018_v2;588;Trelleborg;1287C1040;TRELLEBO_N;1299;437;12;425;25;1064;26;Pendlingskommun nära storstad;29;4;4737.973176;617730.0841;12608;0.681253813;7;Medium
123;{4BAE6D9D-7475-4BE1-A88E-CA13336CDDB0};1287C1060;1287;12;Trelleborg;Skåne;2018_v2;589;Trelleborg;1287C1060;TRELLEBO_N;2476;863;258;605;584;1754;51;Pendlingskommun nära storstad;29;4;5429.703951;1341764.684;5201;1.874146411;8;Medium
124;{A0922A0E-A5C7-4AF5-9D76-1C2E701D5202};1280C2080;1280;12;Malmö;Skåne;2018_v2;356;Malmö;1280C2080;LIMHAMN;9007;2448;449;1999;1141;7508;146;Storstäder;22;5;6488.772334;1478076.253;0;0;0;Large
125;{AD401871-B3AB-444E-BFF6-8FDCB442767A};1287B2010;1287;12;Trelleborg;Skåne;2018_v2;590;Trelleborg;1287B2010;KLAGSTOR;1307;713;615;98;1198;31;42;Pendlingskommun nära storstad;29;4;12541.35471;7783911.333;3066;7.874152992;11;No
126;{DCDA531B-E1A3-40ED-A591-BB1C3A4D4EEC};1287C1050;1287;12;Trelleborg;Skåne;2018_v2;591;Trelleborg;1287C1050;TRELLEBO_N;1826;579;103;476;263;1336;34;Pendlingskommun nära storstad;29;4;6075.530048;1429100.227;3934;1.395301179;8;Medium
127;{9FBA2E33-1DF4-46A7-9CD7-AF10D9C3AB4E};1233B2060;1233;12;Vellinge;Skåne;2018_v2;528;Vellinge;1233B2060;FOTEVIK;1959;938;823;115;1709;131;56;Pendlingskommun nära storstad;29;4;5318.231409;1231950.484;4649;0.788478192;2;Medium
128;{DECC7259-82FD-4E24-AA9E-C2BF9F663D05};1287A0020;1287;12;Trelleborg;Skåne;2018_v2;592;Trelleborg;1287A0020;KLAGSTOR;1589;1057;982;75;1474;105;63;Pendlingskommun nära storstad;29;4;33898.14891;49987139.29;2079;60.68464284;60;No
129;{25D93459-794C-4AD0-A1F2-5BEE890D2F55};1280C2000;1280;12;Malmö;Skåne;2018_v2;357;Malmö;1280C2000;GULLÄNGEN;1757;466;0;466;0;1749;27;Storstäder;22;5;1454.700158;103276.4046;0;0;0;Large
130;{2C30B1EC-91E9-457A-93A2-1A8B6A2778DA};1287C1010;1287;12;Trelleborg;Skåne;2018_v2;593;Trelleborg;1287C1010;TRELLEBO_N;2262;1272;1198;74;2200;0;76;Pendlingskommun nära storstad;29;4;19221.6088;12794425.11;4514;11.8717717;13;No
131;{6F1C7314-F09D-408B-AFDC-078D1F7D32DC};1287C1030;1287;12;Trelleborg;Skåne;2018_v2;594;Trelleborg;1287C1030;TRELLEBO_N;1808;695;442;253;947;832;41;Pendlingskommun nära storstad;29;4;6280.07209;1367953.403;5350;1.954297357;9;Medium
132;{F0F1842A-AA59-4D68-8CF6-157BCAC776A3};1287C1070;1287;12;Trelleborg;Skåne;2018_v2;595;Trelleborg;1287C1070;TRELLEBO_N;2066;779;260;519;550;1429;46;Pendlingskommun nära storstad;29;4;4840.610566;645853.4938;5206;0.198198438;1;Medium
133;{1C03C40E-3496-4746-BED6-77E5B4E07F40};1287C1020;1287;12;Trelleborg;Skåne;2018_v2;596;Trelleborg;1287C1020;TRELLEBO_N;1639;928;883;45;1481;0;55;Pendlingskommun nära storstad;29;4;10782.57136;4702297.172;3771;3.377742249;8;Medium
134;{8C9BB29B-138B-4050-93D0-37FC10C39B83};1287C1120;1287;12;Trelleborg;Skåne;2018_v2;597;Trelleborg;1287C1120;TRELLEBO_N;1681;669;295;374;651;993;40;Pendlingskommun nära storstad;29;4;3064.207401;392459.7146;5973;0.6323535;7;Medium
135;{6DA0DB39-B027-4B1D-B471-65151DFD80F8};1287C1100;1287;12;Trelleborg;Skåne;2018_v2;598;Trelleborg;1287C1100;TRELLEBO_N;2602;1116;469;647;919;1657;66;Pendlingskommun nära storstad;29;4;4073.003071;689616.8901;3092;0.529390191;4;Medium
136;{919C7187-CE44-4519-82DE-63BC828260E2};1287C1130;1287;12;Trelleborg;Skåne;2018_v2;599;Trelleborg;1287C1130;TRELLEBO_N;1142;522;129;393;264;878;31;Pendlingskommun nära storstad;29;4;2640.719727;243372.4888;0;0;0;Medium
137;{26A96610-EB63-4967-8C53-807AC0132963};1280C1940;1280;12;Malmö;Skåne;2018_v2;358;Malmö;1280C1940;HELENE;2446;430;189;241;815;1379;25;Storstäder;22;5;2157.639365;269724.3363;0;0;0;Large
138;{D6CC5B57-E24F-4F57-9D3E-7AD19D2CA7CB};1280C1970;1280;12;Malmö;Skåne;2018_v2;359;Malmö;1280C1970;MÖLLEVÅNGE;1514;204;0;204;0;1399;12;Storstäder;22;5;1492.440773;112502.8826;0;0;0;Large
139;{32E1A589-842F-4B5D-A2F2-AE3C43289965};1280C1980;1280;12;Malmö;Skåne;2018_v2;360;Malmö;1280C1980;GULLÄNGEN;2132;332;0;332;0;1997;19;Storstäder;22;5;2114.53141;150763.0376;0;0;0;Large
140;{604DB26C-BE6F-4E61-B8C4-F4B9F91945B2};1287B2020;1287;12;Trelleborg;Skåne;2018_v2;600;Trelleborg;1287B2020;KLAGSTOR;1630;1061;844;217;1420;4;63;Pendlingskommun nära storstad;29;4;18610.62551;11687753.2;2567;9.058661007;9;No
141;{4CD2EECF-E6E9-4BE4-A644-3DB0946C65BE};1281C1180;1281;12;Lund;Skåne;2018_v2;265;Lund;1281C1180;LUND_SM;1770;406;39;367;130;1451;24;Större stad;21;2;2700.50921;199628.5514;0;0;0;Large
142;{4E32A1E3-9C85-4C82-B664-C63B45842266};1265A0050;1265;12;Sjöbo;Skåne;2018_v2;614;Sjöbo;1265A0050;SJÖBO;1658;1025;861;164;1456;98;61;Pendlingskommun nära större stad;25;3;40565.49283;50151160.11;5495;38.08753715;36;No
143;{42BEFFBB-010B-4008-A44B-071800F4E541};1281C1190;1281;12;Lund;Skåne;2018_v2;266;Lund;1281C1190;LUND_SM;1718;638;179;459;430;1151;38;Större stad;21;2;3506.835864;710295.7292;8781;3.018511221;14;Large
144;{8DC10299-84CA-4BF2-8564-A0B53F45E75A};1230A0020;1230;12;Staffanstorp;Skåne;2018_v2;626;Staffanstorp;1230A0020;LUND_VM;843;300;116;184;256;571;18;Pendlingskommun nära storstad;29;4;15630.62497;9801977.613;8773;11.27844783;28;No
145;{1F9A358E-FB0E-4DE3-A97B-DB7DB1A6BFAB};1265A0040;1265;12;Sjöbo;Skåne;2018_v2;615;Sjöbo;1265A0040;TOMELILLA;1341;775;668;107;1204;61;46;Pendlingskommun nära större stad;25;3;39170.35081;54972212.94;1547;37.51801242;26;No
146;{8BBCB262-5CEE-4E4C-B109-7E5367F990E3};1287C1090;1287;12;Trelleborg;Skåne;2018_v2;601;Trelleborg;1287C1090;TRELLEBO_N;1953;958;902;56;1705;195;57;Pendlingskommun nära storstad;29;4;14778.17651;7125697.877;14724;11.55347615;34;Medium
147;{0646C04F-E95C-44EC-A290-1B1BFC9A45C3};1280C2270;1280;12;Malmö;Skåne;2018_v2;361;Malmö;1280C2270;FÅGELBACKE;1703;452;0;452;0;1684;27;Storstäder;22;5;1729.190395;100200.7412;0;0;0;Large
148;{E4230471-ECE6-4087-B255-907877767838};1287C1110;1287;12;Trelleborg;Skåne;2018_v2;602;Trelleborg;1287C1110;TRELLEBO_N;1452;695;511;184;953;451;41;Pendlingskommun nära storstad;29;4;10334.4207;3279945.311;1523;1.269512532;3;Medium
149;{E6AC9EAB-980E-40CE-A5BC-789D23BDC791};1287C1150;1287;12;Trelleborg;Skåne;2018_v2;603;Trelleborg;1287C1150;TRELLEBO_N;1233;550;156;394;294;890;33;Pendlingskommun nära storstad;29;4;4141.813856;321693.1646;4909;0.485717651;6;Medium
150;{7B292052-9564-40A0-A4E3-B7A1276E5CB8};1280C1210;1280;12;Malmö;Skåne;2018_v2;362;Malmö;1280C1210;HERMODSDAL;2097;526;0;526;0;2072;31;Storstäder;22;5;2176.178315;180909.0474;0;0;0;Large
151;{814CAA1B-5C82-4354-BEEC-1A272776115E};1280C1240;1280;12;Malmö;Skåne;2018_v2;363;Malmö;1280C1240;HERMODSDAL;2112;437;0;437;0;1847;26;Storstäder;22;5;1247.60837;96889.34977;0;0;0;Large
152;{6C1C30FE-9E05-4200-A9E4-86E263D60B2B};1291A0020;1291;12;Simrishamn;Skåne;2018_v2;638;Simrishamn;1291A0020;HERRESTA;823;526;471;55;795;8;31;Landsbygdskommun med besöksnäring;28;9;55452.67086;48862177.23;3899;47.54312129;35;No
153;{A41B525B-3327-46F8-A1E1-62D9A039F110};1284C1010;1284;12;Höganäs;Skåne;2018_v2;79;Höganäs;1284C1010;HÖGANÄS;1274;663;490;173;958;85;39;Pendlingskommun nära större stad;25;3;7726.768028;2574671.399;5076;2.458703549;15;No
154;{F4E46440-C153-431A-849B-7869CD7420E1};1263C1040;1263;12;Svedala;Skåne;2018_v2;653;Svedala;1263C1040;SVEDALA;2210;964;746;218;1598;584;57;Pendlingskommun nära storstad;29;4;3368.207727;623652.5457;4788;0.132043963;4;No
155;{F46ADFB8-5F99-4957-BA20-9AEC26E9FB49};1287C1140;1287;12;Trelleborg;Skåne;2018_v2;604;Trelleborg;1287C1140;TRELLEBO_N;1110;476;342;134;762;332;28;Pendlingskommun nära storstad;29;4;7416.645188;1051495.045;0;0;0;Medium
156;{4E9168CA-5B66-4EC7-B132-70CFB76170BB};1285C1060;1285;12;Eslöv;Skåne;2018_v2;665;Eslöv;1285C1060;ESLÖV;2101;934;516;418;1102;856;56;Pendlingskommun nära större stad;25;3;3985.825085;854773.4932;0;0;0;Medium
157;{30B71442-983D-45D8-8C42-E5EAA3722A7A};1283C1460;1283;12;Helsingborg;Skåne;2018_v2;102;Helsingborg;1283C1460;OLYMPIA;1889;577;0;577;0;1872;34;Större stad;21;2;1307.501325;86694.8941;0;0;0;Large
158;{02CFF83C-F8D8-4E89-B0A5-7D40E0AA2B4B};1283C1440;1283;12;Helsingborg;Skåne;2018_v2;103;Helsingborg;1283C1440;OLYMPIA;1790;652;110;542;259;1510;39;Större stad;21;2;2012.849825;176679.5685;0;0;0;Large
159;{932E6D03-1758-4129-8119-087F72DB965F};1280C2730;1280;12;Malmö;Skåne;2018_v2;364;Malmö;1280C2730;CTA;1525;314;0;314;0;1450;18;Storstäder;22;5;1352.434703;88110.50836;0;0;0;Large
160;{E4EBB601-EE97-4B84-82F8-A5926C5DACA1};1287C1160;1287;12;Trelleborg;Skåne;2018_v2;605;Trelleborg;1287C1160;TRELLEBO_N;2030;994;797;197;1599;293;59;Pendlingskommun nära storstad;29;4;7836.486196;1301524.008;0;0;0;Medium
161;{1984EEA8-6A68-4F0E-B1D1-1DA0BC539C51};1287C1170;1287;12;Trelleborg;Skåne;2018_v2;606;Trelleborg;1287C1170;TRELLEBO_N;2279;1091;894;197;1751;521;65;Pendlingskommun nära storstad;29;4;8818.873934;2012145.473;6262;2.697205808;23;Medium
162;{23D5A32C-ADA7-4CF2-9E06-D495C41BFEE6};1287C1180;1287;12;Trelleborg;Skåne;2018_v2;607;Trelleborg;1287C1180;TRELLEBO_N;2135;1038;699;339;1209;740;62;Pendlingskommun nära storstad;29;4;16506.72853;7411358.918;1666;4.48662013;6;Medium
163;{DD9DF837-E55C-43F4-A1EE-566E15BBB14F};1287C1190;1287;12;Trelleborg;Skåne;2018_v2;608;Trelleborg;1287C1190;TRELLEBO_N;1593;758;699;59;1229;164;45;Pendlingskommun nära storstad;29;4;7654.890965;3760571.269;7660;8.822533165;20;No
164;{F0F4AD5C-DD92-4805-A86B-5F123CAD0964};1233B3020;1233;12;Vellinge;Skåne;2018_v2;529;Vellinge;1233B3020;SKANÖR;1668;871;749;122;1457;126;52;Pendlingskommun nära storstad;29;4;13040.82621;5987937.174;0;0;0;Medium
165;{B0F44742-BAF9-4068-8E00-19B6AE9C36A4};1280C1090;1280;12;Malmö;Skåne;2018_v2;365;Malmö;1280C1090;BUNKEFLO;2444;983;1014;-31;2249;150;58;Storstäder;22;5;11415.97741;5499854.75;0;0;0;Large
166;{A403DF22-30A7-4115-B13B-4676E6215553};1233B2040;1233;12;Vellinge;Skåne;2018_v2;530;Vellinge;1233B2040;FOTEVIK;2265;1032;1094;-62;2206;0;61;Pendlingskommun nära storstad;29;4;13070.49236;5599881.428;1315;7.350563696;8;Medium
167;{25C8A7A0-2437-4766-AAF3-9FAD8EC26732};1286C1020;1286;12;Ystad;Skåne;2018_v2;548;Ystad;1286C1020;RYDSGÅRD;1779;747;206;541;452;1287;44;Mindre stad/tätort;22;3;4771.390817;792451.9768;0;0;0;Medium
168;{ED447BC9-FE14-4B4F-83F1-7D92D5242B42};1286C1010;1286;12;Ystad;Skåne;2018_v2;549;Ystad;1286C1010;RYDSGÅRD;1898;691;107;584;253;1456;41;Mindre stad/tätort;22;3;4852.478057;817606.4593;0;0;0;Medium
169;{E310830E-ED38-4DC9-B7E5-CBFBB526D80E};1286C1030;1286;12;Ystad;Skåne;2018_v2;550;Ystad;1286C1030;RYDSGÅRD;1678;769;317;452;667;984;46;Mindre stad/tätort;22;3;3576.531243;448512.9849;0;0;0;Medium
170;{DFC055B9-92A0-4630-9C9A-7534498A1D35};1233B2020;1233;12;Vellinge;Skåne;2018_v2;531;Vellinge;1233B2020;SKANÖR;1514;917;821;96;1296;149;55;Pendlingskommun nära storstad;29;4;14420.64756;9122021.471;4079;1.650950948;2;Medium
171;{034DBFB5-18C1-4C86-80D2-C25DBA239B20};1286C1040;1286;12;Ystad;Skåne;2018_v2;551;Ystad;1286C1040;RYDSGÅRD;3376;1605;974;631;1890;1366;96;Mindre stad/tätort;22;3;8220.57515;3351559.751;4649;1.700464653;4;Medium
172;{F49E0854-17A7-48E0-8C6A-9040CD86B4EC};1286C1050;1286;12;Ystad;Skåne;2018_v2;552;Ystad;1286C1050;RYDSGÅRD;1505;647;418;229;938;552;38;Mindre stad/tätort;22;3;3416.536928;539237.234;0;0;0;Medium
173;{C2634617-3237-4177-8396-EE81FFCBCAE5};1233B2070;1233;12;Vellinge;Skåne;2018_v2;532;Vellinge;1233B2070;FOTEVIK;2511;1286;1015;271;1835;569;77;Pendlingskommun nära storstad;29;4;9156.521516;1452694.097;7469;1.265077834;7;Medium
174;{A0A25C70-468A-4A49-899C-F968F96E75F3};1233B2030;1233;12;Vellinge;Skåne;2018_v2;533;Vellinge;1233B2030;FOTEVIK;1287;656;664;-8;1272;0;39;Pendlingskommun nära storstad;29;4;12903.51794;4402538.694;3766;0.78763883;1;Medium
175;{D8CC0B47-F131-4CFB-8B91-C8DA3248284C};1287A0010;1287;12;Trelleborg;Skåne;2018_v2;609;Trelleborg;1287A0010;TRELLEBO_N;1534;1093;1044;49;1476;3;65;Pendlingskommun nära storstad;29;4;48222.02499;72401592.52;3100;86.81116053;75;No
176;{F2B396EF-61FE-4BD9-B923-F8D5AE40A7F2};1264B3010;1264;12;Skurup;Skåne;2018_v2;685;Skurup;1264B3010;RYDSGÅRD;1466;804;681;123;1243;170;48;Pendlingskommun nära storstad;29;4;10892.53022;8144555.269;3210;10.62165277;15;No
177;{96FEB385-AC8E-447F-A316-E7C4BF7D7309};1280C1140;1280;12;Malmö;Skåne;2018_v2;366;Malmö;1280C1140;BUNKEFLO;1453;629;651;-22;1445;0;37;Storstäder;22;5;5657.607542;1635587.113;0;0;0;Large
178;{7F747956-1308-4C4C-AB38-1BB490918FB9};1264A0010;1264;12;Skurup;Skåne;2018_v2;686;Skurup;1264A0010;RYDSGÅRD;1231;715;650;65;1193;14;42;Pendlingskommun nära storstad;29;4;23229.77755;20943546.39;3441;23.04748907;27;No
179;{77B0FF9B-D849-4222-9516-AFC158D5EB0E};1280C2030;1280;12;Malmö;Skåne;2018_v2;367;Malmö;1280C2030;FÅGELBACKE;1310;334;0;334;0;1303;20;Storstäder;22;5;1467.364636;121744.1447;0;0;0;Large
180;{AABD02E3-760B-4F9D-8DEE-4C40594B7B95};1280C2060;1280;12;Malmö;Skåne;2018_v2;368;Malmö;1280C2060;MÖLLEVÅNGE;1468;309;0;309;0;1437;18;Storstäder;22;5;1227.723384;78030.38884;0;0;0;Large
181;{77D17C97-F312-44D5-9E6B-E3703A37E504};1287B3010;1287;12;Trelleborg;Skåne;2018_v2;610;Trelleborg;1287B3010;KLAGSTOR;2146;1078;860;218;1616;361;64;Pendlingskommun nära storstad;29;4;9650.141746;6658788.852;3050;8.535656073;11;No
182;{B26EE785-09C7-470B-88D6-5051A955DF17};1280C2490;1280;12;Malmö;Skåne;2018_v2;369;Malmö;1280C2490;FÅGELBACKE;1667;481;0;481;0;1618;28;Storstäder;22;5;1631.968468;165704.1781;0;0;0;Large
183;{896885BC-3E7D-4BCE-910E-8953081DCF97};1280C2520;1280;12;Malmö;Skåne;2018_v2;370;Malmö;1280C2520;FÅGELBACKE;1977;488;0;488;0;1909;29;Storstäder;22;5;1327.420034;81664.98866;0;0;0;Large
184;{43E8E56B-274D-42C9-A0FF-A8BBBE2D3398};1286C1080;1286;12;Ystad;Skåne;2018_v2;553;Ystad;1286C1080;TOMELILLA;2514;1008;307;701;674;1708;60;Mindre stad/tätort;22;3;18623.28764;11177833.66;11669;7.362159713;22;Medium
185;{5190133E-A020-402C-97C2-A71DD12FB3D0};1280C2410;1280;12;Malmö;Skåne;2018_v2;371;Malmö;1280C2410;FÅGELBACKE;1520;475;8;467;22;1399;28;Storstäder;22;5;2192.906117;201964.1278;0;0;0;Large
186;{E3EA83F5-14F9-4930-A33C-3A2706F43C9B};1280C2330;1280;12;Malmö;Skåne;2018_v2;372;Malmö;1280C2330;LIMHAMN;1304;545;493;52;1160;118;32;Storstäder;22;5;3199.575309;439884.1488;0;0;0;Large
187;{2520C4D6-5E0B-4372-AA93-C6688DB339A9};1280C2450;1280;12;Malmö;Skåne;2018_v2;373;Malmö;1280C2450;FÅGELBACKE;1551;411;0;411;0;1540;24;Storstäder;22;5;1072.078074;68051.01039;0;0;0;Large
188;{9071AA8C-EC40-4C1A-AA8D-A11B22D3A18C};1286C1100;1286;12;Ystad;Skåne;2018_v2;554;Ystad;1286C1100;RYDSGÅRD;884;447;471;-24;835;0;26;Mindre stad/tätort;22;3;8622.944708;3863722.613;7845;6.863552206;38;Medium
189;{89B10EE2-DA9E-4BBF-A0AC-5FF5E250BDA2};1233B3040;1233;12;Vellinge;Skåne;2018_v2;534;Vellinge;1233B3040;SKANÖR;2465;1183;1025;158;2120;142;70;Pendlingskommun nära storstad;29;4;21958.93259;19605775.78;6157;2.14530835;3;Medium
190;{72100B89-911C-4067-8E87-CCBB10E86E22};1286B2020;1286;12;Ystad;Skåne;2018_v2;555;Ystad;1286B2020;TOMELILLA;1261;647;580;67;1080;50;38;Mindre stad/tätort;22;3;6543.399688;1316240.035;17;0.143261217;1;No
191;{25B34CA6-78F5-49B6-AFF3-60ECAF209B17};1280C2400;1280;12;Malmö;Skåne;2018_v2;374;Malmö;1280C2400;MÖLLEVÅNGE;1725;313;3;310;10;1481;18;Storstäder;22;5;1664.786361;110516.6338;0;0;0;Large
192;{B301EB68-5D90-4F64-B785-B230A6301E30};1280C2460;1280;12;Malmö;Skåne;2018_v2;375;Malmö;1280C2460;FÅGELBACKE;1719;412;0;412;0;1654;24;Storstäder;22;5;1473.486522;69143.01723;0;0;0;Large
193;{6B75ED30-925A-48A7-B208-61EF4E27093F};1280C2480;1280;12;Malmö;Skåne;2018_v2;376;Malmö;1280C2480;FÅGELBACKE;1379;293;0;293;0;866;17;Storstäder;22;5;1235.280083;92793.5123;0;0;0;Large
