deso,Final Probability
1256B2010,0.0005879187055930841
1292A0010,0.0011416830161192204
1293A0030,0.0006166315529713992
1256B2020,0.0005879187055930841
1284C1060,0.002695177458902664
1292C1050,0.0013606089438629875
1284C1070,0.00012561870728012921
1284C1080,0.001721603533079064
1276B3010,0.000867174301869279
1284C1090,0.0020611792643718003
1272A0010,0.0005830560459564338
1284C1110,0.002463159127668214
1283A0040,0.0006752150238319941
1284C1100,0.002556707436868531
1276A0030,0.0004899708471977021
1292C1010,0.0031551619050076904
1292C1020,0.0015284864789378144
1284B2010,0.00020897858676556055
1284A0010,0.0007933081864363552
1256A0010,0.0002945382408485242
1292C1040,0.0016043208137474778
1292C1090,0.0013606089438629875
1292C1080,0.0013606089438629875
1292A0020,0.0017989525103397676
1256C1010,0.0002593418472880087
1292C1060,0.002611007136144458
1292B2010,0.0008191265935547597
1284C1120,0.0016368543222688753
1256C1020,0.0005617529656434903
1275A0010,0.0005597847462667509
1293A0060,0.0003252193076035788
1284A0030,0.0003607630339952836
1257A0010,0.0008839620553767617
1256A0020,0.0003929492096854918
1284B2020,0.0007933081864363552
1292C1100,0.0013606089438629875
1292C1120,0.0010725637827125503
1256B4010,0.00019890593466107096
1292C1110,0.002611007136144458
1290A0110,0.00019867437944027808
1292B2020,0.0003421228387214579
1293B7010,0.00029523290651090273
1257C1030,0.0005134737021081779
1292C1150,0.00018501262141349908
1257C1020,0.00047931930704123035
1257C1010,0.0008099801623334415
1292C1130,0.0011841733991347111
1293B4010,0.0008254943621265633
1293A0050,0.0008953082611956122
1293A0040,0.0005625634089162653
1293B4020,0.000819242371165156
1257C1040,0.00042837715846680003
1284A0020,0.000570783619254412
1256B3010,0.00033424996121450047
1292C1140,0.0003385337327991685
1293A0070,0.0003731512383077018
1292B3010,0.0012735537143607571
1293B6010,0.0005431127703696647
1273C1010,0.0003929492096854918
1278C1010,0.0009934876748117869
1278C1030,0.001134620581885038
1273A0020,0.0006876032281444124
1273A0010,0.0001883701721149956
1278A0020,0.0003860025530617058
1273C1020,1.968219376739352e-06
1278B2020,0.0005586269701627866
1278B2010,0.00035786859373537267
1292A0040,0.0012359259909819164
1273C1030,0.0006876032281444124
1273C1040,0.0004634577744169191
1273C1050,4.167993974271568e-06
1273B2010,0.0005603636343187331
1278B2030,0.0006018120188406559
